Season,League,Team,Minutes,Goals,Goals Conceded,xG,xG Faced,Non Penalty Shots,Non Penalty Shots Faced,xG/Shot,Opposition xG/Shot,Deep Progressions,Deep Completions,Passes Into Box,Pass OBV,Dribble & Carry OBV,Pressures,Pressures in Opposing Half,Counterpressures,Tackles,Interceptions,Non Aerial Duels,Corners,Non Throw-in Key Passes,Touches in box,Passes,Shots,Shots Outside Box,Box Cross%,Goalkeeper Long Ball%,Cumulative xG,Open Play xG
2024/25,Serie A,Inter Milan,3701.2395,1.9209,0.851,1.3917,0.7938,13.9331,9.6778,0.0998,0.082,44.377,5.617,29.3009,0.9413,0.721,125.2526,63.4895,48.5594,0,8.1702,13.7386,5.3738,9.1428,42.5046,552.731,14.152,4.231,0.4539,0.5487,1.5632,1.0219
2024/25,Serie A,Fiorentina,3705.8435,1.4571,0.9957,0.9492,0.9443,10.7829,10.7586,0.088,0.0877,34.9717,2.6957,21.9302,0.6145,0.7547,133.0628,56.8291,47.4547,0,9.9329,13.8915,3.5943,7.1157,26.4717,429.5459,10.9772,4.1771,0.4307,0.4961,1.1014,0.7671
2024/25,Serie A,Bologna,3712.9636,1.3816,1.1392,1.0308,0.7728,12.4105,7.7081,0.083,0.1002,44.0672,3.4419,27.4389,0.7383,0.6943,142.4306,79.2143,58.2715,0,7.999,14.6648,4.6297,8.0232,32.7474,474.4619,12.5802,4.46,0.4876,0.4529,1.1638,0.7493
2024/25,Serie A,Torino,3694.7199,0.95,1.0961,0.7447,1.0593,9.3295,12.8128,0.0798,0.0826,35.5399,2.7769,24.286,0.5432,0.5747,132.6839,63.1143,46.3553,0,8.6474,12.1551,3.8487,6.0897,25.1872,418.7326,9.4269,3.6782,0.4453,0.4064,0.821,0.5689
2024/25,Serie A,AC Milan,3712.7129,1.4787,1.0423,1.3599,0.869,13.6477,10.4963,0.0996,0.0827,43.7793,3.9512,24.7016,0.5173,0.9656,158.4393,79.5348,47.6578,0,8.6055,14.1082,5.2603,9.5509,37.113,467.0762,13.8416,4.8724,0.3974,0.5607,1.5119,1.1486
2024/25,Serie A,Empoli,3685.0993,0.8059,1.4409,0.713,1.1075,9.0119,12.5776,0.0791,0.088,27.3778,2.3201,23.1282,0.572,0.4894,164.7309,74.538,62.3266,0,11.1123,18.1948,4.1518,5.6416,23.0305,345.8495,9.0852,3.932,0.4287,0.3386,0.7704,0.5693
2024/25,Serie A,Parma Calcio 1913,3703.3505,1.0693,1.4095,0.8131,1.2244,10.1583,13.2204,0.08,0.0926,31.5444,2.5274,20.9242,0.4777,0.696,136.579,60.0024,47.3652,0,10.936,13.8766,4.0584,6.5859,25.6389,388.6669,10.3284,4.2529,0.3554,0.3873,0.9463,0.643
2024/25,Serie A,Lecce,3701.4836,0.6564,1.4102,0.7426,1.1613,10.9658,12.7165,0.0677,0.0913,30.223,2.1153,22.0776,0.4331,0.6346,163.0778,65.5764,59.8381,0,10.5038,16.0233,4.0119,7.2457,23.2204,374.3228,11.0631,4.8629,0.4922,0.3592,0.8188,0.5664
2024/25,Serie A,Venezia,3686.1324,0.7813,1.3672,0.8327,1.1147,9.3268,13.7705,0.0892,0.0809,30.8127,2.9299,20.436,0.4659,0.6744,161.7304,73.809,60.6977,0,9.7907,15.3819,3.4914,6.226,24.5867,375.9794,9.4489,3.8332,0.4062,0.3629,0.9284,0.6477
2024/25,Serie A,Monza,3680.0764,0.6847,1.6874,0.6222,1.2033,8.1438,13.7931,0.0764,0.0872,32.1841,1.8342,19.8582,0.3812,0.5379,144.8285,56.3466,52.3603,0,10.247,14.7469,3.326,5.3803,19.9561,432.9203,8.2172,3.2526,0.5492,0.4122,0.6797,0.4908
2024/25,Serie A,Como,3705.5334,1.1901,1.2629,1.057,0.8664,12.7026,9.1565,0.0832,0.0946,39.4922,3.2545,23.3893,0.5043,0.7196,155.8075,77.3087,56.9067,0,8.8894,17.1473,4.056,8.8894,32.0601,470.7257,12.7512,4.6632,0.4132,0.4832,1.0951,0.7843
